id,time,changetime,reporter,summary,status,owner,type,component
17,2005-07-13 12:25:18,2011-09-07 22:38:22,adrian,Metasystem optimization: Share select_related in memory,closed,PhiR,New feature,"Database layer (models, ORM)"
18,2005-07-13 12:26:27,2007-07-03 16:03:51,adrian,Metasystem optimization: Don't select duplicate fields,closed,adrian,enhancement,"Database layer (models, ORM)"
19,2005-07-13 12:31:17,2012-12-16 23:37:15,adrian,Automatically generate JavaScript form validation,closed,adrian,enhancement,Validators
20,2005-07-13 12:32:17,2007-07-03 16:03:44,adrian,"""Add another"" for many-to-many relationships",closed,adrian,enhancement,contrib.admin
21,2005-07-13 12:33:01,2007-05-30 14:29:52,adrian,FileUploadField should allow for manual filename entry,closed,adrian,enhancement,contrib.admin
22,2005-07-13 12:33:33,2008-10-05 20:46:01,adrian,[patch] FileUploadField should allow for clearing the field,closed,adrian,defect,contrib.admin
23,2005-07-13 12:34:33,2013-02-23 07:01:27,adrian,Add support for ValidationWarning,new,,New feature,Forms
24,2005-07-13 12:35:15,2008-08-21 09:09:48,adrian,edit_inline support for OneToOne relationships,closed,nobody,defect,Metasystem
25,2005-07-13 12:35:54,2012-09-07 07:39:11,adrian,Filtering interface on ForeignKey <select> boxes,new,nobody,Bug,contrib.admin
26,2005-07-13 12:36:46,2012-01-19 04:53:15,adrian,Admin validation errors cause FileUploadFields to be reset,closed,nobody,Uncategorized,contrib.admin
27,2005-07-13 12:40:29,2012-03-01 12:59:33,adrian,Single form field for multiple database fields,new,nobody,New feature,Forms
28,2005-07-13 12:41:08,2007-07-17 14:49:58,adrian,"Delete confirmation should have ""replace relationships"" shortcut",closed,adrian,enhancement,Metasystem
29,2005-07-13 12:43:02,2012-02-18 03:18:23,adrian,"Fix usability issue with limit_choices_to and ""Add another"" in admin",assigned,anonymous,Bug,contrib.admin
30,2005-07-13 15:12:36,2007-07-03 16:04:02,jacob,"django-admin shouldn't copy ""."" directories from the template.",closed,adrian,defect,Tools
31,2005-07-15 06:09:24,2007-10-02 17:37:21,shalofin@…,Spelling corrections from Template Guide page.,closed,jacob,defect,Documentation
32,2005-07-15 07:35:30,2007-07-03 16:03:51,Martin,Really dead link at http://www.djangoproject.com/documentation/faq/,closed,jacob,defect,*.djangoproject.com
33,2005-07-15 19:37:35,2007-07-03 16:03:44,anonymous,frontpage typo,closed,jacob,defect,*.djangoproject.com
34,2005-07-16 04:28:55,2005-07-16 05:05:30,deelan,Tutorial Import and Attribute errors while using MySQL.,closed,adrian,defect,Core (Other)
35,2005-07-16 05:15:35,2007-07-03 16:03:50,JZ,django-admin.py init problem for postgresql 8.0.3/win32,closed,adrian,defect,"Database layer (models, ORM)"
36,2005-07-16 05:17:46,2007-07-17 14:19:58,james,how do I config the apache+mod_python?,closed,adrian,defect,Core (Other)
37,2005-07-16 05:45:48,2007-07-03 16:03:23,sirpete@…,Homepage link 'tutorial' is broken.,closed,jacob,defect,Documentation
38,2005-07-16 11:15:54,2007-07-03 16:03:57,eichin@…,Create sqlite backend,closed,jacob,enhancement,"Database layer (models, ORM)"
39,2005-07-16 14:08:21,2007-07-03 16:03:26,adrian,Get obj.save() working in all MySQL versions,closed,adrian,defect,"Database layer (models, ORM)"
40,2005-07-16 18:32:23,2006-10-22 09:14:52,jforeman@…,Attempt to set a many to many relation throws exception unless model specifies ordering.,closed,adrian,defect,"Database layer (models, ORM)"
41,2005-07-16 20:46:55,2007-07-03 16:03:22,maney@…,allow for multiple user identities with access rights to the database,closed,adrian,enhancement,Core (Other)
42,2005-07-16 22:47:13,2006-10-14 07:31:41,nullstyle@…,OneToOneField missing from DATA_TYPES dict,closed,adrian,defect,"Database layer (models, ORM)"
43,2005-07-17 00:01:40,2007-07-03 16:03:29,django@…,link to icon_searchbox.png is broken,closed,adrian,defect,contrib.admin
44,2005-07-17 06:01:43,2007-07-03 16:03:28,deelan,Missing view templates for djangoproject.com in Subersion repos.,closed,jacob,defect,Documentation
45,2005-07-17 08:41:33,2007-07-03 16:03:54,Simon Willison,Website should emphasize that MySQL support isn't thoroughly tested,closed,jacob,defect,*.djangoproject.com
46,2005-07-17 08:44:25,2006-10-07 15:22:38,Umair,Refactor DATE_TRUNC() and EXTRACT() database code for MySQL,closed,adrian,defect,contrib.admin
47,2005-07-17 08:53:38,2007-07-03 16:03:42,Simon Willison,Get rid of the Roadmap link in Trac,closed,jacob,defect,*.djangoproject.com
48,2005-07-17 09:11:23,2007-07-21 07:43:57,Simon Willison,Unit tests for MySQL support,closed,adrian,defect,"Database layer (models, ORM)"
49,2005-07-17 10:45:42,2007-07-03 16:03:32,Simon Willison,Remove references to http://media.ljworld.com from the code,closed,adrian,defect,contrib.admin
50,2005-07-17 14:05:22,2007-07-03 15:52:28,sirpete@…,Tutorial#1 section Initial Setup directory listing is missing settings/urls folder,closed,jacob,defect,Documentation
51,2005-07-17 16:39:39,2007-07-03 15:54:15,jcernelli@…,Create add_* methods for objects with a many-to many-relationship,closed,adrian,enhancement,Metasystem
52,2005-07-17 17:39:10,2006-10-22 09:22:27,Dobbes,A couple of minor errors in the documentation on the site,closed,jacob,defect,Documentation
53,2005-07-17 19:22:50,2007-07-03 15:57:14,Dobbes,djonga-admin.py sqlclear fails with entries in auth_permissions tables,closed,adrian,defect,Tools
54,2005-07-17 20:06:17,2007-07-03 16:01:12,james,pattern in url_dispatch.txt maybe wrong,closed,jacob,defect,Documentation
55,2005-07-17 22:42:08,2007-07-03 16:03:50,james,add a logger to django,closed,adrian,defect,Tools
56,2005-07-18 01:23:54,2012-10-15 12:10:16,Manuzhai <mail@…>,MySQL id columns should be UNSIGNED,new,,New feature,"Database layer (models, ORM)"
57,2005-07-18 01:54:22,2006-08-29 03:24:58,Manuzhai <mail@…>,Add to Apache configuration for tutorial (part 2),closed,jacob,defect,Documentation
58,2005-07-18 02:26:59,2007-07-03 16:03:52,Manuzhai <mail@…>,Creating user from interactive interpreter doesn't work with MySQL,closed,adrian,defect,"Database layer (models, ORM)"
59,2005-07-18 02:45:00,2007-07-03 16:03:34,Manuzhai <mail@…>,Hard-coded references to password_change and logout,closed,adrian,defect,contrib.admin
60,2005-07-18 09:14:09,2006-10-07 17:18:02,anonymous,Built in webserver,closed,adrian,defect,Core (Other)
61,2005-07-18 09:17:34,2007-01-17 14:12:17,adrian,[patch] auth.User admin form shouldn't require people to edit hashes,closed,adrian,enhancement,contrib.admin
62,2005-07-18 09:34:40,2006-10-22 08:54:23,adrian,"Change tutorial to use easy development server, not mod_python",closed,adrian,enhancement,Documentation
63,2005-07-18 09:36:21,2007-07-03 16:03:59,adrian,Factor django.core.handlers into subclasses to remove duplicate code,closed,adrian,enhancement,Core (Other)
64,2005-07-18 09:37:56,2007-07-03 16:03:39,adrian,Add cache middleware,closed,adrian,enhancement,Core (Cache system)
65,2005-07-18 09:53:09,2007-01-17 14:12:34,ksenia@…,[i18n] Internationalization and localisation,closed,hugo,enhancement,contrib.admin
66,2005-07-18 09:57:22,2007-07-03 16:03:50,slashzero,[patch] Give views access to application root from urlconf,closed,adrian,defect,Core (Other)
67,2005-07-18 10:28:38,2007-07-03 16:04:03,mmarshall at myrealbox dot com,Make specifying 'human-readable' name optional.,closed,adrian,enhancement,Core (Other)
68,2005-07-18 10:32:08,2007-07-03 16:03:24,pb@…,Tutorial 02 shows deprecated mod_python config,closed,jacob,defect,Documentation
69,2005-07-18 11:12:19,2007-07-03 16:03:53,Manuzhai <mail@…>,Enhancing the MySQL backend,closed,adrian,enhancement,"Database layer (models, ORM)"
70,2005-07-18 12:48:49,2007-07-03 16:04:04,Manuzhai <mail@…>,Community link not there from within Code.,closed,jacob,defect,*.djangoproject.com
71,2005-07-18 13:26:25,2007-07-03 16:04:07,pb@…,"Consider using ""example.com"" instead of ""mysite.com""",closed,jacob,defect,Documentation
72,2005-07-18 13:54:10,2012-11-22 18:29:52,anonymous,Django should add charset info to output HTTP headers,closed,adrian,defect,Core (Other)
73,2005-07-18 14:05:45,2007-07-03 16:03:38,Manuzhai <mail@…>,Sample templates in the repository?,closed,jacob,enhancement,*.djangoproject.com
74,2005-07-18 14:05:56,2006-10-22 09:23:53,wilson,add djangoproject.com templates into SVN,closed,adrian,defect,*.djangoproject.com
75,2005-07-18 14:17:26,2007-07-03 16:04:01,slashzero,Add support for recursive ManyToManyFields,closed,adrian,defect,Metasystem
76,2005-07-18 14:21:48,2007-07-03 16:04:02,adrian,"Development server should serve admin images, too",closed,adrian,defect,Tools
77,2005-07-18 16:55:33,2007-07-03 16:03:24,RahmCoff@…,The PostgreSQL code should use schemas instead of prefixes for namespaces. ,closed,adrian,enhancement,"Database layer (models, ORM)"
78,2005-07-18 17:51:50,2006-10-15 13:17:46,nelson@…,Add a test suite for core functionality,closed,adrian,enhancement,Tools
79,2005-07-18 19:27:56,2007-07-03 16:03:51,jyap@…,Unable to run admin interface via stand-alone server,closed,adrian,defect,contrib.admin
80,2005-07-18 22:32:08,2005-07-19 10:36:30,pkropf@…,Browsing to http://127.0.0.1:8000 fails when running django-admin.py runserver,closed,adrian,defect,contrib.admin
81,2005-07-18 23:38:29,2007-01-17 14:12:17,jmb@…,Setting primary_key=True on an non-integer field isn't yet supported,closed,adrian,defect,contrib.admin
82,2005-07-18 23:59:18,2007-07-03 16:03:59,Manuzhai <mail@…>,Config snippet for mod_python users doing tutorial 3,closed,adrian,defect,Core (Other)
83,2005-07-19 04:02:41,2005-07-19 07:44:38,Manuzhai <mail@…>,Spelling error in Environment not found exception,closed,adrian,defect,Core (Other)
84,2005-07-19 06:06:51,2006-10-16 08:33:56,Manuzhai,Foreign keys don't work in MySQL,closed,adrian,defect,"Database layer (models, ORM)"
85,2005-07-19 06:47:36,2007-01-17 14:12:17,hruske@…,Admin login doesn't work with Konqueror,closed,adrian,defect,contrib.admin
86,2005-07-19 08:37:19,2006-10-22 09:17:36,anonymous,Custom External TemplateTag module,closed,adrian,defect,Core (Other)
87,2005-07-19 09:39:52,2007-01-17 14:12:17,jrhuggins@…,[patch] Oracle database support,closed,adrian,enhancement,"Database layer (models, ORM)"
88,2005-07-19 09:57:51,2007-07-03 16:03:29,mmarshall,Configuration should be more forgiving to users who forget the trailing comma.,closed,adrian,defect,Core (Other)
89,2005-07-19 11:06:39,2006-04-23 15:52:28,philippe.normand@…,DateTimeFields with auto_now_add = True in admin,closed,adrian,defect,contrib.admin
90,2005-07-19 13:12:48,2007-07-03 16:03:41,adrian,"Add ""django-admin.py inspectdb"" option",closed,adrian,enhancement,Tools
91,2005-07-19 14:45:54,2007-07-03 16:05:24,mmarshall,A (possible) cleaner ORM fields description,closed,adrian,enhancement,Core (Other)
92,2005-07-19 15:08:06,2007-07-03 16:04:10,adrian,Make meta.Admin.fields optional,closed,adrian,defect,Metasystem
93,2005-07-19 15:43:48,2007-03-26 14:39:52,xtian@…,django-admin startproject can create invalid settings/admin.py on windows,closed,adrian,defect,Tools
94,2005-07-19 16:26:58,2007-07-03 16:03:40,Joey Marshall,Mysterious error,closed,adrian,defect,contrib.admin
95,2005-07-19 17:05:06,2007-07-03 16:03:41,Simon Willison,Encourage people to change the TAMPER_SECRET,closed,adrian,defect,Core (Other)
96,2005-07-19 17:12:31,2007-07-03 16:03:54,Simon Willison,Coment counts on the djangoproject.com weblog,closed,jacob,,*.djangoproject.com
97,2005-07-19 17:13:39,2005-07-20 08:14:00,adrian,Refactor django-admin.py so it only contains command-line interface code,closed,adrian,defect,Core (Other)
98,2005-07-19 17:28:49,2007-07-03 16:04:10,Simon Willison,Pretty CSS for PHILOSOPHY sections in docs,closed,wilson,enhancement,Documentation
99,2005-07-19 17:48:15,2007-07-03 16:03:32,maney@…,"enhance model ""ordering"" to reduce redundancy for multiple same-order fields",closed,adrian,enhancement,Core (Other)
100,2005-07-19 18:21:07,2007-07-03 16:04:10,maney@…,"document ForeignKey('self') hack, please",closed,jacob,defect,Documentation
101,2005-07-19 18:28:53,2006-08-29 03:50:06,ricardo@…,Add functionality to django-admin to create skeleton views,closed,adrian,enhancement,Core (Management commands)
102,2005-07-19 19:21:13,2007-07-03 16:04:15,ianb@…,Exceptions aren't html-quoted,closed,adrian,defect,Core (Other)
103,2005-07-19 20:37:24,2007-07-03 16:06:11,Simon Willison,"""Get current version: 1.0"" is misleading",closed,jacob,defect,*.djangoproject.com
104,2005-07-19 23:12:21,2007-07-03 16:04:05,hugo,i18n for internal strings,closed,adrian,defect,Core (Other)
105,2005-07-20 02:00:38,2007-01-17 14:12:17,paolo,Make collapse class to work in two ways,closed,jacob,enhancement,contrib.admin
106,2005-07-20 02:41:37,2008-11-12 08:25:37,paolo,[patch] Problem with some js/select box on IE ,closed,kmtracey,defect,contrib.admin
107,2005-07-20 03:26:01,2006-11-03 05:48:06,Manuzhai <mail@…>,[patch] Leaving out ID parameters,closed,adrian,defect,Metasystem
108,2005-07-20 04:52:18,2007-07-03 16:03:57,verbosus,WikiFormatting page is not there,closed,jacob,defect,*.djangoproject.com
109,2005-07-20 06:17:49,2007-07-03 16:03:46,Manuzhai,Patch: Customizing Date(Time)Field displays,closed,anonymous,defect,contrib.admin
110,2005-07-20 07:23:10,2006-09-13 18:25:57,maurycy,Documentation on pagination needed,closed,jacob,enhancement,Documentation
111,2005-07-20 07:38:19,2006-10-07 09:23:30,Manuzhai,Filtering doesn't clean up arguments,closed,adrian,defect,contrib.admin
112,2005-07-20 08:25:13,2006-09-13 17:37:53,sune.kirkeby@…,WSGI requires a HTTP reason in the status,closed,adrian,defect,Core (Other)
113,2005-07-20 09:00:52,2006-10-07 14:45:17,Jason Huggins,auto-reload broken in standalone WSGI server,closed,adrian,defect,Core (Other)
114,2005-07-20 09:25:56,2006-10-07 12:00:07,sdelatorre@…,DeprecationWarning when creating a new project (see patch),closed,adrian,defect,Core (Other)
115,2005-07-20 10:37:01,2007-10-21 12:53:27,maurycy,Models CRUD via web services,closed,nobody,enhancement,Core (Other)
116,2005-07-20 10:54:11,2011-08-08 04:40:20,espen@…,Default admin media doesn't display for 'django-admin runserver',closed,adrian,Uncategorized,contrib.admin
117,2005-07-20 11:25:32,2007-07-03 16:04:07,Simon Willison,Site search and/or Trac search for djangoproject.com,closed,jacob,enhancement,*.djangoproject.com
118,2005-07-20 11:47:08,2006-10-07 10:54:45,Simon Willison,flatfiles should be called flatpages,closed,adrian,defect,Core (Other)
119,2005-07-20 12:42:19,2006-10-22 09:18:52,brantley (deadwisdom@…,Serving media,closed,adrian,enhancement,Core (Other)
120,2005-07-20 12:49:48,2007-07-03 16:05:27,anonymous,djang-admin.py called without argument,closed,adrian,defect,Tools
121,2005-07-20 13:20:29,2007-07-03 16:04:25,sune.kirkeby@…,[patch] Names in SQL should be quoted,closed,adrian,enhancement,Metasystem
122,2005-07-20 14:25:02,2007-01-17 14:12:17,anonymous,[patch] Build models using fieldname=FieldClass,closed,adrian,enhancement,Core (Other)
123,2005-07-20 14:39:20,2006-10-07 11:13:53,jay@…,Typo in the model_api/#field-types,closed,jacob,defect,Documentation
124,2005-07-20 14:39:32,2007-07-03 16:04:49,Manuzhai,Better handling of raw POST data,closed,adrian,defect,Core (Other)
125,2005-07-20 15:13:00,2007-07-03 16:03:55,maurycy,View-Controller separation violation,closed,adrian,defect,contrib.admin
126,2005-07-20 15:19:29,2006-10-13 14:17:51,anonymous,Patch to place the post_data into the request variable,closed,adrian,defect,contrib.admin
127,2005-07-20 15:20:16,2007-07-12 01:02:24,maurycy,Documentation how to setup djangoproject.com,closed,jacob,defect,Documentation
128,2005-07-20 16:39:49,2007-07-03 16:03:54,espen@…,IndexError when using invalid {% extends %} in template should be replaced with better error message.,closed,adrian,defect,Template system
129,2005-07-20 17:02:52,2007-07-03 16:04:03,jason@…,"Multiple ManyToManyField fields with same ""to"" reference tries to create duplicate tables",closed,adrian,defect,Metasystem
130,2005-07-20 19:30:54,2007-07-03 16:04:15,adrian,Display comments in Trac timeline,closed,jacob,enhancement,*.djangoproject.com
131,2005-07-20 20:40:23,2006-09-13 16:47:09,jcernelli@…,Included URL configurations do not receive parameters parsed from parent URL configurations,closed,adrian,defect,Core (Other)
132,2005-07-21 00:33:38,2006-10-16 08:32:45,anonymous,REMOTE_ADDR not in WSGI-environ,closed,adrian,defect,Core (Other)
133,2005-07-21 02:24:39,2007-07-03 16:04:16,Joeri van Ruth <jvr+djangotrac@…>,Patch to improve DATABASE_ENGINE error message,closed,adrian,defect,Core (Other)
134,2005-07-21 02:56:07,2007-07-03 16:05:23,Manuzhai,Template for password change not included in source dist,closed,adrian,defect,contrib.admin
135,2005-07-21 04:19:17,2006-10-22 09:26:08,Manuzhai,Document mod_python behavior with more than one SETTINGS in a vhost,closed,jacob,defect,Documentation
136,2005-07-21 05:15:51,2007-07-03 16:04:35,paolo,Provide a path to read documentation files in docs/  (enhancement/trivial),closed,jacob,enhancement,Documentation
137,2005-07-21 05:47:53,2007-08-25 16:18:51,nesh@…,TypeError: can't compare datetime.datetime to datetime.date in date_based.py,closed,jacob,defect,Generic views
138,2005-07-21 07:57:54,2007-07-03 16:04:26,paolo,"Error naming the ""docs"" directory in README",closed,adrian,defect,Documentation
139,2005-07-21 10:21:05,2007-07-23 01:32:14,rmunn@…,edit_inline should grow some Javascript magic to increase usability,closed,tmervyn@gmail.com,enhancement,contrib.admin
140,2005-07-21 11:27:01,2006-08-29 04:18:56,jacob,Memcached cache backend should support multiple servers,closed,jacob,defect,Core (Cache system)
141,2005-07-21 11:59:14,2007-07-03 16:04:25,sdelatorre@…,--settings option doesn't work as shown in the tutorial,closed,adrian,defect,Core (Other)
142,2005-07-21 12:14:25,2007-07-03 16:03:55,Jason Huggins,tutorial 1 bug in init --settings ,closed,jacob,defect,Documentation
143,2005-07-21 12:42:36,2007-07-03 16:04:38,sdelatorre@…,Problem running the command line examples in Tut 1 when using --settings option,closed,adrian,defect,Core (Other)
144,2005-07-21 16:29:46,2007-07-03 16:04:25,sdelatorre@…,Some admin media files are not viewable,closed,adrian,defect,contrib.admin
145,2005-07-21 16:38:17,2006-10-07 14:08:21,sdelatorre@…,Logout link and user name visible after logging out.,closed,adrian,defect,contrib.admin
146,2005-07-21 20:37:46,2007-07-03 16:04:40,adrian,Change order_by and ordering parameters to be less verbose,closed,adrian,defect,"Database layer (models, ORM)"
147,2005-07-21 20:55:27,2007-07-03 16:04:17,rmunn@…,"""sqlite"" should be ""sqlite3"" in conf/project_template/settings/main.py",closed,adrian,defect,contrib.admin
148,2005-07-22 02:09:34,2007-07-15 21:10:10,Simon Willison,Add some padding to the bottom of div#content-main,closed,wilson,defect,*.djangoproject.com
149,2005-07-22 02:17:37,2007-08-14 07:58:27,Simon Willison,Show latest comments on djangoproject.com,closed,adrian,defect,Core (Cache system)
150,2005-07-22 02:55:38,2007-07-17 14:52:51,lstep@…,"Should put a notice to set an *absolute path', in the DATABASE_NAME variable if using sqlite3",closed,adrian,defect,Core (Other)
151,2005-07-22 03:11:14,2006-05-18 07:03:00,Davide,"javascript clock not dismissed by clicking ""cancel""; several references to ljworld.com in the src code",closed,adrian,defect,contrib.admin
152,2005-07-22 04:33:45,2006-06-12 03:47:10,gb@…,FCGI server for django,closed,adrian,,Core (Other)
153,2005-07-22 06:06:28,2007-07-03 16:04:14,adrian,Change docs to use new ordering syntax,closed,jacob,defect,Documentation
154,2005-07-22 06:10:15,2012-11-27 00:55:38,Dobbes,Can't delete object with ManytoMany Relationship,closed,adrian,defect,contrib.admin
155,2005-07-22 06:12:55,2007-07-03 16:04:05,gb@…,django-admin initializes mysite.com in meta table without way to change that,closed,adrian,defect,contrib.admin
156,2005-07-22 06:49:14,2006-09-13 16:56:18,anonymous,changeset 293 breaks tutorial polls app,closed,adrian,defect,contrib.admin
157,2005-07-22 07:01:21,2007-07-03 16:04:35,mfenniak@…,view/admin/main.py change_list assumes orderlist is tuple,closed,adrian,defect,contrib.admin
158,2005-07-22 09:34:51,2007-07-03 16:04:07,Manuzhai,Base admin template changes,closed,adrian,defect,contrib.admin
159,2005-07-22 09:55:37,2012-02-09 10:56:24,Manuzhai,Circular logout problem,closed,ashchristopher,Bug,contrib.admin
160,2005-07-22 10:03:40,2007-07-03 16:04:44,Manuzhai,Never get to the final logout page,closed,adrian,defect,contrib.admin
161,2005-07-22 10:42:12,2007-07-03 16:04:32,adrian,Log output for &#34;django-admin runserver&#34; shouldn't display admin media,closed,adrian,,Tools
162,2005-07-22 10:57:21,2006-10-27 04:56:15,mfenniak@…,admin log accesses __repr__ too late  (w/patch),closed,adrian,defect,contrib.admin
163,2005-07-22 10:58:19,2007-07-03 16:04:16,Manuzhai,Option to leave off __exact,closed,adrian,enhancement,Template system
164,2005-07-22 11:01:43,2005-07-26 09:08:52,sway,mysql/pgsql not implemented in django.core.cache?,closed,jacob,defect,Core (Cache system)
165,2005-07-22 11:07:44,2006-10-07 14:16:40,Manuzhai,Should mod_python config use PythonOption instead of SetEnv for settings?,closed,adrian,defect,Core (Other)
166,2005-07-22 13:10:11,2007-07-03 16:04:18,rmunn@…,"[patch] Add ""in"" to the lookup types in the DB API",closed,adrian,enhancement,Core (Other)
167,2005-07-22 14:33:35,2006-11-06 03:07:20,Manuzhai,ForeignKey should also take string arg instead of class name,closed,adrian,defect,Metasystem
168,2005-07-22 19:57:40,2007-07-03 16:04:31,clintecker@…,history() in django/views/admin/main.py makes assumptions about the object's key name,closed,adrian,defect,contrib.admin
169,2005-07-23 04:28:21,2007-07-03 16:04:14,django@…,\\dt instead of \dt in Tutorial 1,closed,jacob,defect,Documentation
170,2005-07-23 05:45:57,2006-10-25 15:29:59,alang.yl@…,Unicode field names cause UnicodeEncodeError in main admin handler,closed,adrian,,contrib.admin
171,2005-07-23 12:22:34,2007-06-06 20:15:08,Asheesh Laroia <asheesh@…>,"Bug, I think, in foreign keys and SQLite",closed,jacob,defect,"Database layer (models, ORM)"
172,2005-07-23 17:08:57,2009-03-30 11:50:55,jnoetzelman@…,Twisted (twisted.web2) support for Django ,closed,adrian,enhancement,Tools
173,2005-07-23 20:00:41,2007-07-03 16:04:42,andrew.phillipo@…,How do I start Django's in built webserver?,closed,jacob,defect,Documentation
174,2005-07-23 21:25:02,2006-10-22 09:25:38,eminetto@…,Tutorial01 translated to brazilian portuguese,closed,jacob,defect,Documentation
175,2005-07-24 08:48:38,2006-10-22 09:39:55,Justin,select_related does not work in both directions..,closed,adrian,defect,"Database layer (models, ORM)"
176,2005-07-24 09:07:54,2005-07-24 18:31:22,moof@…,Database settings should not be kept in settings.main for ease of packaging.,closed,adrian,defect,Tools
177,2005-07-24 12:22:36,2007-07-03 16:04:25,EABinGA,Logout from Admin leaves you in /admin/logout,closed,adrian,defect,contrib.admin
178,2005-07-24 13:38:38,2007-07-03 16:04:14,edgars@…,Wrong time zone usage,closed,adrian,defect,Core (Other)
179,2005-07-24 13:55:12,2006-10-22 09:31:13,edgars@…,Time zone doesn't work right under django_admin.py runserver,closed,adrian,defect,Core (Management commands)
180,2005-07-24 13:56:52,2007-01-17 14:12:17,edgars@…,request.POST doesn't work in django_admin.py runserver,closed,adrian,defect,Tools
181,2005-07-24 15:22:32,2005-07-25 09:34:09,moof@…,Site and FlatFile don't appear in the Admin interface,closed,adrian,defect,contrib.admin
182,2005-07-24 15:35:09,2006-08-29 04:54:41,Moof <moof@…>,Add a command to django-admin.py that will install missing tables,closed,adrian,defect,Tools
183,2005-07-24 17:36:48,2007-07-03 16:04:46,espen@…,TypeError: can't compare datetime.datetime to datetime.date,closed,adrian,defect,Template system
184,2005-07-24 17:52:49,2006-08-29 04:55:20,maurycy,Add django architecture documentation,closed,jacob,defect,Documentation
185,2005-07-24 17:59:00,2007-07-03 16:04:51,maurycy,Chaining views,closed,adrian,defect,Core (Other)
186,2005-07-24 18:24:26,2007-07-03 16:04:43,rmunn@…,[patch] Refactor django/core/meta.py to eliminate duplicate code,closed,adrian,enhancement,Metasystem
187,2005-07-24 18:27:13,2007-07-03 16:04:17,Moof <moof@…>,Uknown error with ordering in the admin interface,closed,adrian,defect,contrib.admin
188,2005-07-24 23:35:09,2005-07-29 14:10:09,edgars@…,"Can't login in admin, when TIME_ZONE set to 'Europe/Riga' in myproject.settings.main",closed,adrian,defect,contrib.admin
189,2005-07-25 07:02:53,2007-07-14 22:20:31,Nick Stenning,Inline editing of foreign keys doesn't do pretty error handling.,closed,adrian,defect,contrib.admin
190,2005-07-25 07:09:46,2005-07-31 22:46:24,Moof <moof@…>,Add which template a syntax error is occurring in when you raise TemplateSyntaxErrors,closed,adrian,defect,Template system
191,2005-07-25 07:11:10,2007-07-15 21:04:19,Eric Moritz(slashzero),Pydoc integration,closed,adrian,defect,Core (Other)
192,2005-07-25 09:33:03,2006-10-26 08:44:00,mordaha@…,FileUploads with builtin HTTPServer and  wsgi-handler won't works,closed,adrian,defect,Core (Other)
193,2005-07-25 10:55:23,2006-10-31 05:37:52,Steadicat,Uploaded binary files are corrupted on Windows,closed,adrian,defect,Core (Other)
194,2005-07-25 11:03:38,2006-08-29 05:00:10,Steadicat,get_image_dimensions does not work on Windows,closed,adrian,defect,Core (Other)
195,2005-07-25 11:55:15,2006-11-05 18:25:47,Moof <moof@…>,Patch: Allow callables in the extra_context dictionary of django.views.generic.date_based,closed,adrian,defect,Core (Other)
196,2005-07-25 12:15:04,2007-07-03 16:04:49,Moof <moof@…>,Patch: Allow integer months in views.generic.date_based,closed,adrian,defect,Core (Other)
197,2005-07-25 14:01:23,2007-07-03 16:04:42,mmarshall,Adding a flatfile causes a traceback in sqlite3.py,closed,jacob,defect,contrib.admin
198,2005-07-25 14:26:45,2007-07-03 16:04:24,brantley (deadwisdom@…,istartswith doesn't work,closed,adrian,enhancement,Contrib apps
